,densidad de potencia,coordenadas,Longitude,Latitude,value
99,0.277,"-57.55836265491529,-37.99946347867038,14.91636690925815",-57.55836265491529,-37.99946347867038,14.91636690925815
100,0.491,"-57.55746126361731,-37.99986826732837,16.49778857913954",-57.55746126361731,-37.99986826732837,16.49778857913954
101,0.365,"-57.55762822880383,-37.99851137821707,17.5273313782547",-57.55762822880383,-37.99851137821707,17.5273313782547
102,0.231,"-57.55661857936128,-37.9989356264594,16.48057636578662",-57.55661857936128,-37.9989356264594,16.48057636578662
103,0.107,"-57.55703122701652,-37.99767713455798,15.90124208570269",-57.55703122701652,-37.99767713455798,15.90124208570269
104,0.164,"-57.55598362247365,-37.99819311282535,15.90110135200467",-57.55598362247365,-37.99819311282535,15.90110135200467
105,0.489,"-57.54547731702035,-38.00809356775192,26.2510838012727",-57.54547731702035,-38.00809356775192,26.2510838012727
106,2.596,"-57.54654624325792,-38.00760479681679,23.754343153384",-57.54654624325792,-38.00760479681679,23.754343153384
107,3.789,"-57.54755927277495,-38.00712366630346,22.74018215714924",-57.54755927277495,-38.00712366630346,22.74018215714924
108,1.58,"-57.54858664513734,-38.00667036741088,21.48977912760104",-57.54858664513734,-38.00667036741088,21.48977912760104
109,0.221,"-57.54952787835374,-38.00613380566065,20.14949955226288",-57.54952787835374,-38.00613380566065,20.14949955226288
110,0.131,"-57.5505487415554,-38.00564083727661,19.61435764882678",-57.5505487415554,-38.00564083727661,19.61435764882678
111,0.256,"-57.55151391093038,-38.00506397964732,21.03752422854839",-57.55151391093038,-38.00506397964732,21.03752422854839
112,0.327,"-57.55252516536009,-38.0045394321394,15.82473039771499",-57.55252516536009,-38.0045394321394,15.82473039771499
113,1.834,"-57.55356964285836,-38.00412837438658,12.75652627357887",-57.55356964285836,-38.00412837438658,12.75652627357887
114,0.234,"-57.55442842111154,-38.00359107372016,16.23715903822048",-57.55442842111154,-38.00359107372016,16.23715903822048
115,0.196,"-57.55562616718386,-38.00307356719971,15.88002650480201",-57.55562616718386,-38.00307356719971,15.88002650480201
116,0.174,"-57.55651758711831,-38.00258072365219,15.9687841686911",-57.55651758711831,-38.00258072365219,15.9687841686911
117,0.227,"-57.55583711725392,-38.0017867487358,14.33853868453003",-57.55583711725392,-38.0017867487358,14.33853868453003
118,0.213,"-57.55487183454857,-38.00226239266222,15.89839178362127",-57.55487183454857,-38.00226239266222,15.89839178362127
119,0.394,"-57.55395543480405,-38.00278583719786,19.76313172734062",-57.55395543480405,-38.00278583719786,19.76313172734062
120,0.441,"-57.55279738403004,-38.00339188348627,13.01747792063994",-57.55279738403004,-38.00339188348627,13.01747792063994
121,0.224,"-57.55181597273346,-38.00383266399605,17.87980749172804",-57.55181597273346,-38.00383266399605,17.87980749172804
122,0.19,"-57.55079494902723,-38.00436155831595,22.70842654253367",-57.55079494902723,-38.00436155831595,22.70842654253367
123,0.173,"-57.54975376186832,-38.00477902280056,19.06616838106636",-57.54975376186832,-38.00477902280056,19.06616838106636
124,0.319,"-57.54884827159218,-38.00531828764861,19.69800075056864",-57.54884827159218,-38.00531828764861,19.69800075056864
125,1.104,"-57.54781910323938,-38.00576391102529,29.66623054855049",-57.54781910323938,-38.00576391102529,29.66623054855049
126,2.45,"-57.54678195178746,-38.00626484154143,28.55840118138911",-57.54678195178746,-38.00626484154143,28.55840118138911
127,1.179,"-57.54579557699847,-38.00674331868147,27.81366822347034",-57.54579557699847,-38.00674331868147,27.81366822347034
128,2.314,"-57.54480400394178,-38.00730344973348,26.82761020955327",-57.54480400394178,-38.00730344973348,26.82761020955327
129,4.602,"-57.55515612133084,-38.02349495083044,45.46491408338917",-57.55515612133084,-38.02349495083044,45.46491408338917
130,0.16,"-57.55440017547866,-38.02261634651095,46.3470320259353",-57.55440017547866,-38.02261634651095,46.3470320259353
131,0.989,"-57.55338091420788,-38.02311315869736,48.63721495227315",-57.55338091420788,-38.02311315869736,48.63721495227315
132,0.837,"-57.55402193942001,-38.02386792475491,46.8430987759687",-57.55402193942001,-38.02386792475491,46.8430987759687
133,1.981,"-57.55307347940116,-38.02443434569958,46.51855301476246",-57.55307347940116,-38.02443434569958,46.51855301476246
134,0.325,"-57.55474213685512,-38.0247303392405,46.84324836960729",-57.55474213685512,-38.0247303392405,46.84324836960729
135,1.279,"-57.56080067594913,-38.01829757597882,19.14932989065471",-57.56080067594913,-38.01829757597882,19.14932989065471
136,0.233,"-57.56165162845505,-38.01779182154807,17.56044395310077",-57.56165162845505,-38.01779182154807,17.56044395310077
137,0.11,"-57.56012656807743,-38.01748725563068,21.93887219201023",-57.56012656807743,-38.01748725563068,21.93887219201023
138,0.249,"-57.56133707107619,-38.01900442234723,21.22532223114422",-57.56133707107619,-38.01900442234723,21.22532223114422
